date,price,market_cap,total_volume,coin_id,symbol
2026-01-14,95260.4422971001,1902289955573.257,66844465446.74208,bitcoin,BTC
2026-01-15,97007.78078881276,1938292963237.8118,68433627980.993996,bitcoin,BTC
2026-01-16,95584.82797878512,1909227332523.1567,59629891835.2242,bitcoin,BTC
2026-01-17,95516.07771987123,1907673016263.0132,37208122951.606445,bitcoin,BTC
2026-01-18,95099.53192554631,1899912876486.1714,17839431205.011776,bitcoin,BTC
2026-01-19,93752.70577188236,1874976961280.7039,23132534225.645782,bitcoin,BTC
2026-01-20,92558.46334372147,1849232162887.1968,43338958368.50777,bitcoin,BTC
2026-01-21,88312.84053255555,1764030499464.2656,60578606228.98298,bitcoin,BTC
2026-01-22,89354.34377512129,1785123532735.0352,62357735672.95213,bitcoin,BTC
2026-01-23,89443.39744146909,1787014846080.977,39301750755.698135,bitcoin,BTC
2026-01-24,89412.39849953113,1786292506432.339,43393369570.58639,bitcoin,BTC
2026-01-25,89170.87364531498,1781979789713.3386,16537403154.850498,bitcoin,BTC
2026-01-26,86548.32213469829,1731460015137.4014,39912523619.12114,bitcoin,BTC
2026-01-27,88307.8612070438,1764540020523.9114,50644433646.50017,bitcoin,BTC
2026-01-28,89204.22239644526,1782508769730.2656,43778458930.62677,bitcoin,BTC
2026-01-29,89162.09701574955,1781310220302.3276,45893249753.273575,bitcoin,BTC
2026-01-30,84570.40906135936,1689639802554.1016,70962598615.0189,bitcoin,BTC
2026-01-31,84141.77856967277,1680807873673.8472,79515463845.849,bitcoin,BTC
2026-02-01,78725.85853884545,1573735495563.3943,78488542272.81866,bitcoin,BTC
2026-02-02,76937.06406636834,1537520318473.685,58330740751.53287,bitcoin,BTC
2026-02-03,78767.65815345927,1573216672021.9187,84675130404.55545,bitcoin,BTC
2026-02-04,75638.95670207398,1512165605443.8088,73734215653.24066,bitcoin,BTC
2026-02-05,73172.29203248928,1463518712915.32,74109194166.40112,bitcoin,BTC
2026-02-06,62853.69038445987,1262033077144.5305,142403234254.4544,bitcoin,BTC
2026-02-07,70523.95417035831,1410203662656.3728,128662818793.56021,bitcoin,BTC
2026-02-08,69296.80677355142,1385532837702.3442,68978204828.46071,bitcoin,BTC
2026-02-09,70542.37329463876,1411671712614.3147,42782981463.70375,bitcoin,BTC
2026-02-10,70096.40692272567,1400898153463.9268,56115089203.17752,bitcoin,BTC
2026-02-11,68779.90981269129,1374149240710.2896,43014177103.90287,bitcoin,BTC
2026-02-12,66937.58141157958,1337566230010.1792,54917156057.4172,bitcoin,BTC
